Quantifying_Parameter,Input_Parameter,2D_JS_Score
P100,Input6,0.151501602847729
P100,Input7,0.17200052339123065
P100,Input8,0.15786997148893703
P100,Input9,0.15966110302097558
P100,Input10,0.18158571194750756
P100,Input11,0.23239675891770403
P100,Input12,0.18984422244260568
P100,Input13,0.17079452021511404
P100,Input14,0.17232438689246005
P100,Input15,0.1612476674915302
