Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.125802,0.016630746,5.5851501008653446e-05,0.074849256,-0.875623972,0.0061,0.0105,0.012,0.0147,0.0162,0.0196,0.0212,0.024,0.0263,0.0354,,0.3864131435751915,0.4768561869859695,0.5900705648392439,0.037463244,0.136515548,0.060172178,0.075172178,0.090172178,0.1051721778705716,0.8093692259073257,0.9757119889914988,0.8140399999678135,0.052241331,0.064948369,0.061478902
0.128172,0.016802965,5.441891693912753e-05,0.079290203,-0.863715807,0.0062,0.0107,0.012,0.0147,0.0161,0.0202,0.0212,0.0246,0.0262,0.035,,0.4154651290178299,0.4505394265986979,0.712196069,0.039593518,0.1299228256801143,0.056716924,0.071734751,0.086926166,0.1089660408914089,0.8335235657781362,0.8480930999517441,0.9779458091437816,0.063600401,0.066285988,0.095307889
0.132131,0.017265632,5.61291185421875e-05,0.018446711,-0.887969466,0.0063,0.011,0.0122,0.0149,0.0168,0.0204,0.0214,0.0248,0.0267,0.035,,0.3918071411550045,0.4719930276274681,0.7132839598288759,0.041778184,0.1224312430620193,0.056780501,0.071785847,0.087775395,0.1028679906070232,0.8471044613331556,0.9915997489631176,0.8197762118637563,0.066482723,0.066289525,0.097868136
0.131588,0.017004689,5.1992530373707456e-05,0.084257624,-0.762242223,0.0064,0.0111,0.0122,0.0148,0.0163,0.0202,0.0211,0.0241,0.026,0.035,,0.3767731433361769,0.4861664056777954,0.7548248251989483,0.037628194,0.1321884977817535,0.052629338,0.067632114,0.084045648,0.099075042,0.8629553371101618,0.9877520080149174,0.8394240029394627,0.059237971,0.064696682,0.097797389
0.169758,0.023188476,9.08856392144382e-05,0.025895378,-0.828642566,0.0112,0.0153,0.0168,0.0202,0.0228,0.0261,0.0288,0.0322,0.0363,0.045,,0.4060282891988754,0.4161151468753815,0.6896666718162596,0.038799044,0.1295047894492745,0.068044466,0.08308314,0.098109517,0.1131095165417529,0.8455119006872177,0.8122482064664364,0.9075052041724324,0.05406126,0.093104889,0.088793938
0.174695,0.021982573,8.884443119957528e-05,0.038728984,-0.779699055,0.0101,0.0129,0.0164,0.0196,0.0217,0.0255,0.0268,0.0307,0.0356,0.045,,0.3651822337508201,0.454768681,0.644698467,0.03704778,0.1307609297335148,0.063249137,0.08143222,0.1007178855430334,0.1157269763246178,0.8624182430967688,0.985251331,0.8408984989047051,0.06439046,0.094857357,0.091935266
0.169709,0.020065397,6.702274010577399e-05,0.049405929,-0.723128256,0.0094,0.0118,0.015,0.0172,0.0201,0.022,0.0251,0.0272,0.0315,0.0403,,0.3746334326267242,0.4469849776476621,0.7164980550136417,0.036084034,0.1166531908512115,0.056653191,0.071653191,0.086653191,0.1016531908512115,0.8454509317934513,0.8519581744611263,0.9856880577147008,0.059634381,0.084030723,0.076294693
0.172546,0.023604301,8.120788743079244e-05,-0.044669539,-0.757048374,0.0116,0.0156,0.0187,0.0205,0.0246,0.0262,0.0292,0.0318,0.0357,0.0442,,0.3743730221688747,0.4437325775623321,0.716199223,0.046816733,0.1381430691480636,0.061816733,0.090308317,0.1080397082731127,0.1230540479063987,0.8374964809566736,0.9739580005168916,0.8289716273665428,0.052586215,0.078190142,0.079008333
0.172516,0.021527135,9.16699880304462e-05,0.052395043,-0.782786761,0.0094,0.0127,0.015,0.0195,0.021,0.0243,0.0267,0.0308,0.0344,0.0458,,0.3568604019284248,0.4609873004257679,0.5568019180476665,0.040071554,0.1345618435740471,0.056211542,0.076125058,0.1032220154777169,0.1195392204150557,0.9528946367561816,0.8378096715211869,0.8483539249718189,0.062253387,0.090295673,0.084445122
0.164316,0.020797361,8.365348527372127e-05,0.048480033,-0.686018191,0.0091,0.0123,0.0145,0.0186,0.0209,0.0234,0.0259,0.0291,0.0327,0.0453,,0.3953312069177627,0.4225925922393799,0.561079186,0.041103153,0.1366249084472656,0.056113659,0.072493588,0.1057687444411218,0.1214179993882775,0.8450887465387583,0.9028539000496268,0.9171736618489028,0.081354674,0.07817544,0.091592163
0.17193,0.022650244,8.046556296955667e-05,-0.001703061,-0.700022795,0.0112,0.0137,0.0167,0.0203,0.0225,0.0252,0.0271,0.0308,0.0351,0.0453,,0.3845929274242371,0.4354380622506141,0.7094265117008239,0.042054285,0.1329636737704277,0.064527304,0.079619552,0.094631476,0.1096639918684959,0.8660075022473932,0.8249179797887802,0.9639977228999138,0.053849029,0.085699903,0.080751268
0.16618,0.023607524,6.940539666370609e-05,-0.141263707,-0.659413322,0.0118,0.0157,0.0196,0.0212,0.0249,0.0263,0.0286,0.0314,0.0345,0.0409,,0.360134774,0.4644847363233566,0.8101810178428888,0.040049817,0.1374977469444274,0.064001184,0.079001184,0.094001184,0.1090011835776269,0.8382259987324476,0.8115640101373196,0.9887231696367264,0.052797737,0.09429811,0.090695886
0.170613,0.022044138,9.528270902218549e-05,0.066244911,-0.645096718,0.0098,0.0118,0.0159,0.0193,0.0217,0.0251,0.0273,0.031,0.0351,0.0502,,0.3872340162098407,0.4309075877070427,0.5584206912249327,0.041374138,0.1340844115614891,0.058612373,0.082682876,0.1013101933028549,0.1166275582380592,0.87016112,0.935927664,0.9327377677321436,0.074399118,0.08608322,0.082200292
0.169662,0.021759273,8.956769778374751e-05,0.078835732,-0.715270662,0.0097,0.0126,0.016,0.0192,0.0211,0.025,0.0269,0.0304,0.035,0.0442,,0.3957522591948509,0.422765452,0.5792856636106968,0.044881736,0.1368484878540039,0.062965369,0.079032595,0.094150695,0.1091970407605171,0.9086794524189084,0.8917689157374203,0.9556876051902772,0.07915668,0.088981862,0.089358537
0.121157,0.019240906,7.265283062272455e-05,-0.006899093,-0.893448373,0.0065,0.0107,0.0148,0.016,0.0198,0.0214,0.0246,0.0266,0.0312,0.0367,,0.4047713866829872,0.4691350251436234,0.5381206175386906,0.046251455,0.1333090752363205,0.069427109,0.084428491,0.099428491,0.1144284906297922,0.8896267863091082,0.8111173866093159,0.9912472838878632,0.082929185,0.095111557,0.094738992
0.118408,0.019685064,5.4103737720505195e-05,-0.090431978,-0.760044871,0.0106,0.0123,0.0151,0.0172,0.0205,0.0214,0.0247,0.026,0.0297,0.035,,0.3826028550043702,0.48986226,0.8356478306025267,0.046023667,0.1324362087249755,0.061023667,0.076023667,0.1016471233408898,0.1174099054433405,0.8259439419776201,0.9879745218753816,0.8245506463170051,0.055517442,0.057877155,0.071113006
0.129026,0.020080211,5.6990566218069543e-05,-0.041833683,-0.691127738,0.0099,0.013,0.015,0.018,0.0208,0.0219,0.0248,0.0267,0.0302,0.0391,,0.4030681622028351,0.4586625687777996,0.7950709492832422,0.04479524,0.1448407709598541,0.06021416,0.093672954,0.1087369253709912,0.1239245365828275,0.8266545030385256,0.8115698217332363,0.9825706664562226,0.081623177,0.07585835,0.08828027
0.122503,0.021939739,6.281218210863576e-05,-0.09881042,-0.710707838,0.0107,0.0143,0.0166,0.0206,0.0218,0.0246,0.0265,0.0294,0.0322,0.0391,,0.4174570846557617,0.4501347468583844,0.8489532924056054,0.048559712,0.1352899664640426,0.063559712,0.078559712,0.099164303,0.1202899664640426,0.9665130644619464,0.8752351315289736,0.8555704444289208,0.080769805,0.085148481,0.06518585
0.117842,0.021679298,6.398831095041773e-05,-0.031758315,-0.637057078,0.0106,0.0142,0.0165,0.0206,0.0218,0.0242,0.0256,0.0289,0.0322,0.0394,,0.3806876339018345,0.4960784256458282,0.8588759022384882,0.04689356,0.1294636157527566,0.06189356,0.076897047,0.099081539,0.1140887095196172,0.809723911,0.9551388501286506,0.8368053192555904,0.060894467,0.057257906,0.068228537
0.120316,0.016553771,5.666831115310576e-05,0.097160245,-0.911765959,0.0061,0.0104,0.0119,0.0146,0.016,0.0193,0.0212,0.0248,0.0265,0.0354,,0.4184269958734512,0.4545283067971468,0.5297172836601733,0.036396626,0.1283632215857506,0.053028375,0.08232617,0.098363222,0.1133632215857505,0.807831992,0.976615031,0.95387041,0.083491006,0.091952964,0.076989482
0.118303,0.021216727,6.498273130019764e-05,-0.013389997,-0.716668736,0.0103,0.0139,0.0157,0.0199,0.0215,0.0239,0.0254,0.0287,0.032,0.0394,,0.4099781376123428,0.4634939834475517,0.836451548,0.046253211,0.1469225585460662,0.064421349,0.087882234,0.1041857760213315,0.123338769,0.8271416584402324,0.9864611191809176,0.8924283590741456,0.055807533,0.056041707,0.097766741
0.119676,0.018401176,7.016293045467756e-05,0.066631848,-0.878562612,0.0064,0.0102,0.0135,0.0151,0.0188,0.0212,0.0235,0.0262,0.0299,0.0391,,0.3948668959736824,0.4775429964065552,0.5606191456228494,0.047271361,0.1459588074684143,0.062271361,0.077271361,0.098705596,0.1137263853794429,0.8111737121403217,0.9871773150146008,0.9379045980453492,0.089282507,0.081416316,0.081194543
0.121716,0.019373545,5.454630279318861e-05,-0.004153314,-0.682967641,0.0101,0.0112,0.0151,0.0164,0.0196,0.021,0.0241,0.0261,0.0291,0.0364,,0.4118723982572556,0.4603688970208168,0.818747589,0.041596819,0.1400997006893158,0.058207076,0.089724842,0.1057827909655869,0.1231613549470901,0.8267682909876108,0.8291916999995709,0.9793485056996346,0.060681527,0.070457444,0.079522367
