Quantifying_Parameter,Input_Parameter,2D_KL_Score
P50,Input8,4.459521454010558
P50,Input9,4.2978027381789845
P50,Input10,3.810751558328053
P50,Input11,4.78168454881276
P50,Input12,4.032330785404164
P50,Input13,3.568598934687151
P50,Input14,3.76308189452258
P50,Input15,3.2296904268219766
P60,Input1,2.9019548882313817
P60,Input2,3.3772886473916865
P60,Input3,4.363784759558407
P60,Input4,4.201025880250467
P60,Input5,5.0943086514606115
P60,Input6,3.524474698966494
P60,Input7,4.141013547248144
P60,Input8,4.181949048845494
P60,Input9,4.196171294289094
P60,Input10,3.908791494949834
P60,Input11,3.998598569704634
P60,Input12,3.6677438523715686
P60,Input13,3.663154470909446
P60,Input14,3.692634457953702
P60,Input15,3.0825013975388997
P70,Input1,2.7870474149206617
P70,Input2,3.1549313951387266
P70,Input3,4.735691845144905
P70,Input4,4.302245585271891
P70,Input5,4.838444234531648
P70,Input6,3.523045582057888
P70,Input7,3.8258314771612993
P70,Input8,3.936407273698057
P70,Input9,3.945392616212737
P70,Input10,3.786888858678933
P70,Input11,4.543924272185085
P70,Input12,4.134722310259702
P70,Input13,3.77558549907838
P70,Input14,3.4794894823250146
P70,Input15,2.72911114912354
P80,Input1,3.115752564374066
P80,Input2,3.144526649580402
P80,Input3,4.681927559179934
P80,Input4,4.000356355846273
P80,Input5,5.227443187968654
P80,Input6,3.500463167399673
P80,Input7,3.9992737452460596
P80,Input8,4.229745623955826
P80,Input9,4.0496533770813805
P80,Input10,4.030999950329293
P80,Input11,4.534007962159659
P80,Input12,3.914293240407581
P80,Input13,3.545023280220335
P80,Input14,3.4196605172926
P80,Input15,2.8841891539780145
P90,Input1,2.444965199623241
P90,Input2,2.6506613768946554
P90,Input3,4.748113624147908
P90,Input4,3.9913152910319276
P90,Input5,5.087499924806207
P90,Input6,3.472586942671723
P90,Input7,3.7628355743060338
P90,Input8,4.053859796269263
P90,Input9,4.044630020041907
P90,Input10,3.892352088640298
P90,Input11,3.760048121832845
P90,Input12,4.116723644638068
P90,Input13,3.405605121893956
P90,Input14,3.3422105731862293
P90,Input15,2.987646832051589
P100,Input1,1.6390167284253274
P100,Input2,2.2736149552878744
P100,Input3,4.312272889700284
P100,Input4,3.16322983471815
P100,Input5,4.606074901983101
P100,Input6,2.8334555390323883
P100,Input7,3.5098736650672744
P100,Input8,3.3125267298380705
P100,Input9,3.3610529299256
P100,Input10,3.138448545068508
P100,Input11,3.9643580608524607
P100,Input12,3.04328255895303
P100,Input13,2.9395101694727774
P100,Input14,2.830228029221075
P100,Input15,2.279550668304063
