Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Unnamed: 15,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.139932,0.017348346,5.4391505725846015e-05,0.03131273,-0.716767014,0.0068,0.0104,0.0126,0.0152,0.0171,0.0197,0.0217,0.0243,0.0271,0.0369,,0.38074706989777857,0.4602464663347166,0.5800214886816647,0.039468075176565295,0.11395547646917854,0.06367149373936867,0.08469690652988827,0.10286719177393175,0.127556280697344,0.9028107332424812,0.8121709671597475,0.9899074890946177,0.07960815499108112,0.058915920507148584,0.07195333340714019
0.139376,0.01945073,6.614957369751332e-05,-0.080636239,-0.854266134,0.0084,0.0124,0.0146,0.0177,0.0195,0.0225,0.0243,0.0274,0.0303,0.0356,,0.369682386789762,0.45517728618553255,0.7610150145878166,0.03878954228766809,0.14883109607512374,0.08402373191897439,0.09353644476460878,0.11741546376833129,0.09892610506580315,0.8301176355600026,0.8490776810077558,0.9433581954441126,0.05134713901212777,0.08809956358803657,0.07564464050867797
0.136957,0.017450898,6.041241981427451e-05,0.003606427,-0.82881583,0.0074,0.0098,0.0129,0.015,0.0177,0.0196,0.0222,0.0246,0.0279,0.035,,0.3646645202084468,0.40515559434594617,0.5772767287571633,0.04819364556257173,0.12735478500445513,0.08111007165513978,0.07327678278830103,0.10874450177566942,0.10877336495316692,0.8182762306420478,0.9088119022054388,0.8751969290448761,0.06756712628128209,0.06295665996274158,0.08790477987761261
0.142021,0.017725017,5.268580340244238e-05,0.003794307,-0.728841767,0.0073,0.0105,0.0134,0.0155,0.0177,0.0201,0.022,0.0244,0.0275,0.0363,,0.406076219434899,0.47552045609122995,0.6225508963218935,0.04141559299450398,0.11795845696179669,0.07572061576328509,0.06585293715171212,0.11470291294492642,0.09639327053760849,0.8786711928543739,0.8537263938160644,0.8079823791724404,0.08526683619580212,0.0923930529633039,0.07362959747362469
0.117598,0.01633797,5.227938132722721e-05,0.061151276,-0.642708708,0.0056,0.0093,0.0122,0.0141,0.0165,0.0181,0.0207,0.0228,0.0257,0.0339,,0.38182492391667705,0.46116825496873043,0.5810690281468553,0.03744896818179256,0.12349739055601382,0.07624933983607907,0.08177860459112901,0.10381356060394416,0.11056390472228955,0.8341916987664824,0.8485275035921408,0.9921509905068688,0.082377600817825,0.08103835164833313,0.07869120414441352
0.141594,0.017847388,5.8647107248233355e-05,-0.062343505,-0.790192748,0.0077,0.0102,0.0133,0.0159,0.0181,0.0201,0.0226,0.0249,0.028,0.0351,,0.3733163428101859,0.47430921824838024,0.8308303655534477,0.04244128867405337,0.14298486337228564,0.07555099582656014,0.07233155028624327,0.10981462803428706,0.10549229619409518,0.8553745064055981,0.8636672299476531,0.9027280505722768,0.07765782719672235,0.09474945913200766,0.08199625318399598
0.1323,0.018708469,6.297245803802693e-05,0.091023363,-0.743915266,0.0075,0.0113,0.0133,0.0167,0.0186,0.0206,0.0233,0.0261,0.03,0.0391,,0.36223547824089836,0.4171145965781384,0.8424299315767421,0.04383131870548385,0.1226679094280796,0.07548260078729747,0.07673233467472512,0.1134288506685981,0.13378749866674947,0.9304272797891976,0.8863237627800082,0.836722921178114,0.05734499890343305,0.08595644311369098,0.0958954735771852
0.133917,0.018258089,6.037059177597499e-05,-0.012243071,-0.747771432,0.0071,0.0107,0.0134,0.0159,0.0183,0.0207,0.0229,0.0256,0.0282,0.0368,,0.40889098182935335,0.4236385178623548,0.583074893301876,0.037497396590431664,0.1417186748669282,0.07002824116386158,0.07745863845562262,0.0962364637457691,0.11433481046539815,0.8904121608911436,0.8553305319326118,0.8392661867729032,0.06123049668010782,0.08974714018559037,0.07355557415866609
0.139003,0.018336359,5.808201336709361e-05,0.00655822,-0.827271887,0.0076,0.0109,0.0135,0.016,0.0182,0.0207,0.0228,0.0257,0.0286,0.0372,,0.3853948876985491,0.4826187878968249,0.8921876317247065,0.03891206905192517,0.12191139323824168,0.058117755614895406,0.09072277380285597,0.08146258888716378,0.11513096061820786,0.9603170846408517,0.8451174541177564,0.9058468779781613,0.06488599488379734,0.06748232652189916,0.09823676944377345
0.130921,0.01816942,6.192274688455402e-05,-0.082504651,-0.895177762,0.0077,0.0104,0.0133,0.0159,0.0183,0.0209,0.0232,0.0258,0.0288,0.0348,,0.35886931978698633,0.4248291279768292,0.6331012336038571,0.0453515087426894,0.1320147598663046,0.0763593234821817,0.08051016463744647,0.09510172691393443,0.10402789647879335,0.9052053480889674,0.9411362375273633,0.9732115793529261,0.05932307490797242,0.08643838094904284,0.09685545508753544
