Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Unnamed: 15,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.177363,0.021641566,7.130861664061964e-05,0.1055340372783913,-0.595986413,0.0101,0.0139,0.0169,0.0191,0.0213,0.0237,0.0269,0.0294,0.0329,0.0442,,0.3705548587259184,0.4283605491732549,0.7681101112070283,0.04923894736039612,0.1153081405310459,0.0584307057242874,0.09396316500623711,0.08897107065050798,0.09814713558618861,0.8597866575689682,0.9803050344836979,0.909022754846884,0.06228079476556351,0.06536802495049578,0.06245086042828917
0.171039,0.023691073,7.534239008510929e-05,-0.01761116,-0.69926,0.0127,0.0156,0.0181,0.0213,0.0239,0.0261,0.0286,0.0321,0.0354,0.0424,,0.40926299026786117,0.4141650095562976,0.5756110915165258,0.042978158650370184,0.135090995125214,0.06255782800671553,0.09596600534322126,0.09502865136990021,0.1105583348052836,0.836948187498822,0.9687330663622212,0.891597699165597,0.07738977137796173,0.08814423016333602,0.06936235392868216
0.184365,0.024205823,7.946384845599801e-05,-0.003395248,-0.615314861,0.0124,0.016,0.0188,0.0215,0.0239,0.0266,0.0294,0.0324,0.0363,0.0495,,0.37336855074397923,0.45807734927573107,0.6164584721340876,0.0479197333414008,0.1360140101743389,0.06097148570281679,0.09763821231429881,0.09729980648847414,0.12111901947637847,0.812894649959289,0.9012765604404201,0.9074783438212526,0.09344939922366734,0.08643041500068145,0.06071988159818859
0.185842,0.024592569,7.673896130875888e-05,0.000895107,-0.506040016,0.0127,0.0164,0.0192,0.022,0.0245,0.0271,0.0299,0.0326,0.0361,0.048,,0.3597033199808248,0.4191150525402342,0.5405399378223716,0.04258991613248693,0.12254635384627019,0.06984184456108189,0.09805877339658582,0.11609998639746427,0.12262129586399019,0.8180035697703404,0.900370347216627,0.8970760495722577,0.09154233280862957,0.07327315302941248,0.06556335581075086
0.138624,0.018200124,6.508955715199331e-05,0.04598381,-0.61538881,0.0069,0.0103,0.0137,0.0158,0.018,0.0207,0.023,0.0254,0.0288,0.0419,,0.41364381103982,0.49646091017087873,0.5051108655985468,0.048726058544648766,0.1411524539672058,0.07448630475833597,0.09160990828607378,0.08761480584214973,0.11052190059854668,0.8315584214550475,0.973189131099813,0.8977202587349608,0.0898915152144629,0.08713610869045516,0.05827337345776238
0.139932,0.017348346,5.4391505725846015e-05,0.03131273,-0.716767014,0.0068,0.0104,0.0126,0.0152,0.0171,0.0197,0.0217,0.0243,0.0271,0.0369,,0.4093388624571563,0.4284830660431072,0.7326131428279123,0.04185849850741755,0.1344258221457582,0.05278752093993615,0.06973118414365619,0.09110255043801699,0.11732564714253116,0.9417620562636815,0.8598700164338594,0.8073528217935605,0.06716685813873319,0.0845954999978229,0.06979534397490758
0.139376,0.01945073,6.614957369751332e-05,-0.080636239,-0.854266134,0.0084,0.0124,0.0146,0.0177,0.0195,0.0225,0.0243,0.0274,0.0303,0.0356,,0.3788254518860212,0.40308592325794856,0.5345829935167963,0.044194433469825344,0.11929228046976896,0.05235227589057615,0.06846790637701854,0.1163264995272622,0.1264885274632204,0.957657248539636,0.8728648403967113,0.9031665905251293,0.06247701758842595,0.06667102652330054,0.06416356816520011
0.136957,0.017450898,6.041241981427451e-05,0.003606427,-0.82881583,0.0074,0.0098,0.0129,0.015,0.0177,0.0196,0.0222,0.0246,0.0279,0.035,,0.38210127933978033,0.4947651106096687,0.8329847888712734,0.0411430069457743,0.13385167161819722,0.07841655174052625,0.10042133245650048,0.09978686593861338,0.12705682625811746,0.9285395830118356,0.8972575505078015,0.8516905999368903,0.06293114943337741,0.08241959895189485,0.07549875545841718
0.142021,0.017725017,5.268580340244238e-05,0.003794307,-0.728841767,0.0073,0.0105,0.0134,0.0155,0.0177,0.0201,0.022,0.0244,0.0275,0.0363,,0.3543162459431952,0.4979633667923186,0.6318378664877562,0.04298634711346117,0.1424240733851095,0.0594193547215711,0.08989107680870337,0.09263499639911178,0.09639566077114262,0.8333237759770813,0.8284026762300504,0.9488809859687026,0.057774867958763056,0.05190527456811742,0.08810819173389614
0.117598,0.01633797,5.227938132722721e-05,0.061151276,-0.642708708,0.0056,0.0093,0.0122,0.0141,0.0165,0.0181,0.0207,0.0228,0.0257,0.0339,,0.3882080272330291,0.46833825946147406,0.7797290754366433,0.044491338230457034,0.1478804230847765,0.05454714028937268,0.07177395167726484,0.11830728983653103,0.13218213914679489,0.9830411644688798,0.9343493708102535,0.9090864577997034,0.06656389964715774,0.07410184141784452,0.07597536168877529
