Porosity,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.148377,0.020708555,8.38E-05,0.113159194,-0.772406371,0.005,0.0092,0.0118,0.0153,0.0176,0.0208,0.0231,0.0255,0.0294,0.0336,0.0427,,0.414,0.4322,0.6685,0.0409,0.1372,0.0706,0.0812,0.0822,0.1241,0.8764,0.8227,0.9323,0.042,0.0431,0.0531
0.090041,0.01696358,4.77E-05,0.027675056,-0.787062416,0.005,0.0068,0.0108,0.0121,0.0154,0.0163,0.0201,0.0213,0.0233,0.0259,0.0332,,0.4366,0.4606,0.8348,0.0453,0.1302,0.0714,0.0748,0.0959,0.1196,0.9961,0.8755,0.8708,0.0343,0.0265,0.0402
0.137867,0.050972418,0.001261088,0.556493938,-0.942318394,0.005,0.0109,0.0164,0.0234,0.0333,0.0435,0.0531,0.0684,0.0875,0.1121,0.1172,,0.3763,0.4754,0.5642,0.0357,0.1459,0.0569,0.0771,0.1157,0.1198,0.9707,0.9479,0.8511,0.0399,0.0257,0.0244
0.190994,0.0391056,0.000522914,0.765199251,-0.427769078,0.005,0.0147,0.0195,0.0237,0.0277,0.033,0.0383,0.046,0.0611,0.0792,0.0939,,0.3523,0.4507,0.8205,0.0359,0.1262,0.056,0.0848,0.0901,0.1118,0.9051,0.9044,0.8724,0.0481,0.0544,0.0313
0.062182,0.011772382,2.80E-05,0.192618221,-1.032650946,0.005,0.0054,0.0057,0.0099,0.0108,0.0114,0.0138,0.0153,0.0163,0.0203,0.0245,,0.4498,0.4839,0.6301,0.044,0.1131,0.0513,0.0664,0.0904,0.1049,0.8154,0.9596,0.8615,0.0573,0.0484,0.0441
0.171095,0.049973713,0.001247965,0.899850175,-0.448025008,0.005,0.0146,0.0212,0.0262,0.0303,0.0358,0.0441,0.0604,0.0884,0.1066,0.1349,,0.3843,0.439,0.8663,0.0432,0.1372,0.0628,0.0825,0.1029,0.1162,0.8387,0.8018,0.8024,0.053,0.0214,0.025
0.21565,0.066252823,0.001983016,0.671451289,-0.969871065,0.005,0.0216,0.0275,0.0333,0.0394,0.0468,0.0638,0.0893,0.1171,0.1432,0.1569,,0.3595,0.4113,0.8897,0.0479,0.1354,0.0638,0.079,0.1136,0.1178,0.941,0.9992,0.9627,0.0212,0.0338,0.0473
0.183605,0.029678403,0.000115325,-0.131963376,-0.372590874,0.005,0.0145,0.0212,0.0241,0.027,0.0303,0.0327,0.0354,0.039,0.0438,0.0561,,0.3978,0.4109,0.9182,0.0368,0.1344,0.0507,0.085,0.0855,0.1175,0.9135,0.9544,0.9691,0.0302,0.0571,0.0361
0.101634,0.020484069,9.42E-05,0.050605263,-1.015743443,0.005,0.0067,0.0111,0.0149,0.0168,0.0209,0.024,0.0262,0.0305,0.0339,0.043,,0.4397,0.4404,0.6108,0.045,0.1419,0.0816,0.0877,0.0887,0.1361,0.8843,0.9282,0.8311,0.0255,0.0377,0.0284
0.172096,0.059440435,0.001386701,0.132370408,-1.304783153,0.005,0.0122,0.0191,0.0274,0.0422,0.0614,0.0734,0.0841,0.0955,0.1154,0.1204,,0.3639,0.4621,0.6319,0.0422,0.1298,0.0595,0.08,0.0978,0.1078,0.8822,0.86,0.9391,0.0255,0.0388,0.0203
