,Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
P60,0.03361930264276458,0.001343161880491217,0.00111286578751435,0.3270790766614145,0.18128366285909747,0.0477006535480915,0.013550392963217361,0.004547774551811656,0.0010752841812929903,0.009264993633135488,0.0,0.00752110022591812,0.003019246917828511,0.006550366497340643,0.004931668918922383,0.08848984579942376,0.033809332079157595,0.30262044040055425,0.09144364525340576,0.20225721769078323,0.10075122943245574,0.11801791033727682,0.170879897174918,0.030977832648874465,0.013568991511666878,0.0889734909214541,0.020556836767336228,0.10216658674945041,0.2684066646908141,0.16792693033429404
P70,0.027162492192212895,0.0008802608168004822,0.003622993415621112,0.319821639399244,0.18194423474864257,0.054185337740110806,0.015241959996033949,0.0030262171001298466,0.005160753879550173,0.0017857089522289593,0.00752110022591812,0.0,0.005261617842577393,0.003345996493838266,0.00034388042634292404,0.10010113594268594,0.03299260796060399,0.30103976791860276,0.0810087275986241,0.21434028601108704,0.09672030879276683,0.1132769996662365,0.16424325116704228,0.024580863881104503,0.011755381737917167,0.09425258751408679,0.01840468768002007,0.09520135535886988,0.2777155088156516,0.17065118856393044
P80,0.016765438403547606,0.002055672368550532,0.004640265434074142,0.3179690597474092,0.17406188359792418,0.06090998210471921,0.01578353571262381,0.00046708668955153243,0.0004256781759875983,0.00476630725951499,0.003019246917828511,0.005261617842577393,0.0,0.003052383067432718,0.003456247700680759,0.11036977364638562,0.026923327808054398,0.29930924456294344,0.07202871598109067,0.22192197147247417,0.08894662523682167,0.10750771046599178,0.15873628159037625,0.021972443600330682,0.011001838162885417,0.0902698693127082,0.024457852628816144,0.09127247517594035,0.28103742233727624,0.16918404129064715
P90,0.008158209605524602,0.00162004466046628,0.008143587266766117,0.3150042652977734,0.1531610441744421,0.06249734701345577,0.012970108463147723,0.0008927665079488944,0.0038994574455439857,0.003535588904496789,0.006550366497340643,0.003345996493838266,0.003052383067432718,0.0,0.006981185839948001,0.12180203635180181,0.023063903619065018,0.28914394665237675,0.06293826852419576,0.23877060768717434,0.08069496267308335,0.09056075349956727,0.14055432619239372,0.007568953614215279,0.005453866357820133,0.0900702991813497,0.032001581886460025,0.08028924339590687,0.28449188552589555,0.1668024987205666
P100,0.008810036521856524,0.004328610736834326,0.022524429362731357,0.3064248370908456,0.061987747411252014,0.0636295932979336,0.01147662898847357,0.00018144983527135228,0.0023892435008988633,0.003278753349114316,0.004931668918922383,0.00034388042634292404,0.003456247700680759,0.006981185839948001,0.0,0.1086673863852583,0.007053005060200901,0.2467997182961553,0.03944856606959987,0.2777765832098832,0.023006947834585484,0.00700330939181365,0.05221555937376082,0.04561773625485524,0.027949863408324095,0.05975061679310272,0.037397598725641475,0.025224521525193076,0.24957507988150504,0.13784784173687725
Input1,0.043995543569817386,0.09714069060633584,0.1376549878563933,0.12379309244176225,0.010139948293738932,0.1075215850064335,0.0734706723299105,0.07358713339701911,0.08255991320898604,0.08276557191917733,0.08848984579942376,0.10010113594268594,0.11036977364638562,0.12180203635180181,0.1086673863852583,0.0,0.16613781648282996,0.07778265947998098,0.04085451495152296,0.1793829283749752,0.11001154770436611,0.1218498668272764,0.12562371280287662,0.16303796207596502,0.018409438194821253,0.008134058895976154,0.051632708093857636,0.08788949346172766,0.07766137777504002,0.0880289556508154
Input2,0.07026025485833443,0.02931760447455639,0.012295032873024747,0.07812696996947227,0.11734994074100233,0.004395878876791326,0.0401708611868104,0.03814239599343633,0.03203192251924525,0.034716208494945444,0.033809332079157595,0.03299260796060399,0.026923327808054398,0.023063903619065018,0.007053005060200901,0.16613781648282996,0.0,0.0882638562096323,0.07476189385545827,0.09089379709258122,0.09948433896523949,0.13183486516720175,0.12878122945350817,0.07051104386715955,0.06036310654167864,0.10287462193399709,0.02926064207913497,0.06150470392582366,0.18039909585007757,0.11773806930408871
Input3,0.1325111668862064,0.27117707368528954,0.308662492459729,0.3965417247472979,0.23272053632123446,0.12560154057444273,0.2133602082774428,0.2547557499355244,0.27429381850202866,0.2875228501931354,0.30262044040055425,0.30103976791860276,0.29930924456294344,0.28914394665237675,0.2467997182961553,0.07778265947998098,0.0882638562096323,0.0,0.02923607041330855,0.0992420076208754,0.0039142438728085776,0.029199722987369947,0.10874582121522026,0.020398522245481603,0.0029451700168516455,0.04749908586099299,0.04737759933769718,0.0891872841015785,0.08592896936260838,0.032238654487288576
Input4,0.09293775876746077,0.08946183378888237,0.004247995754473516,0.07029630713353885,0.02266789821727521,0.10430455211831624,0.11580620656991339,0.11421498916892195,0.10563946386733561,0.09488417777518623,0.09144364525340576,0.0810087275986241,0.07202871598109067,0.06293826852419576,0.03944856606959987,0.04085451495152296,0.07476189385545827,0.02923607041330855,0.0,0.06108215384815113,0.12826899917923934,0.12090331527549891,0.04037279853327039,0.022188452584193705,0.003366489050783787,0.02541600484617026,0.08571675430392708,0.16952993515803533,0.15223394293171535,0.08235296333656168
Input5,0.18570665767420103,0.20147462331611513,0.274213811268859,0.022353569828372888,0.1409423313333999,0.13772242624689274,0.15061564802795585,0.17065483881124316,0.1819798660608588,0.1913887645320759,0.20225721769078323,0.21434028601108704,0.22192197147247417,0.23877060768717434,0.2777765832098832,0.1793829283749752,0.09089379709258122,0.0992420076208754,0.06108215384815113,0.0,0.0766112943690686,0.06331178497307033,0.17137252386745983,0.20550948511798617,0.05035308359021462,0.13491090272402573,0.026485797022663952,0.022432588550758626,0.03373171349320678,0.11028469716533122
