,RVE_ID,,Porosity,,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELL_i03371_k01_seed906831215_void_mask.tif,3371,1,0.151977,15.198,0.02287302,6.11E-05,-0.3208118,-0.5023796,0.005,0.0114,0.0151,0.0197,0.0213,0.0236,0.0257,0.027,0.0302,0.0326,0.0391,0.00585128,0.039356349,0.00755384,0.00129214,0.00925641,0.02937374,0.010958969,0.04022573,0.012661531,0.00931228,0.014364093,0.08475392,0.016066656,0.050583395,0.017769218,0.02326425,0.019471781,0.03451021,0.021174343,0.150385668,0.022876906,0.03909891,0.024579468,0.08030093,0.026282031,0.128916101,0.027984593,0.04751056,0.029687156,0.05077504,0.031389718,0.08261872,0.03309228,0.0341039,0.03479484,0.04537372,0.03649741,0.023173775,0.038199968,0.00507068
CELL_i03372_k01_seed1183064672_void_mask.tif,3372,1,0.162631,16.263,0.02521294,8.73E-05,-0.0419492,-0.6965399,0.005,0.0112,0.0158,0.0202,0.0221,0.0249,0.0276,0.0313,0.0339,0.0374,0.0464,0.0060342,0.024730832,0.00810261,0.00114139,0.010171012,0.07586269,0.012239416,0.01026019,0.014307821,0.07578967,0.016376226,0.05159072,0.01844463,0.01612085,0.02051304,0.132114265,0.02258144,0.046657,0.024649844,0.102048502,0.026718249,0.0689644,0.02878665,0.03705397,0.030855058,0.08255037,0.03292346,0.07679194,0.03499187,0.06592916,0.037060272,0.04891288,0.03912868,0.014878006,0.04119708,0.03751668,0.04326549,0.02278548,0.04533389,0.008301
CELL_i03373_k01_seed377069735_void_mask.tif,3373,1,0.140162,14.016,0.022940936,0.0001119,0.133442738,-0.7175043,0.005,0.0097,0.0125,0.0158,0.0209,0.0227,0.0254,0.0295,0.0329,0.0371,0.0495,0.00611244,0.08798852,0.00833731,0.00031303,0.01056218,0.107781724,0.012787058,0.011196885,0.015011932,0.106996024,0.017236806,0.0389211,0.01946168,0.0291663,0.021686553,0.12606328,0.023911427,0.07546281,0.026136301,0.08685144,0.02836117,0.02879352,0.030586048,0.06889718,0.03281092,0.05965964,0.0350358,0.05531556,0.03726067,0.040352486,0.03948554,0.027170394,0.04171042,0.017860615,0.04393529,0.018805059,0.046160165,0.00276288,0.04838504,0.00964154
CELL_i03374_k01_seed1804375711_void_mask.tif,3374,1,0.193084,19.308,0.026213253,7.75E-05,-0.299628,-0.4795182,0.005,0.0138,0.0192,0.0212,0.0241,0.0262,0.0292,0.0317,0.0346,0.0372,0.0453,0.00600692,0.02705623,0.00802077,0.00082348,0.010034616,0.01979838,0.01204846,0.030010902,0.014062309,0.06086211,0.016076155,0.03700397,0.01809,0.01998612,0.02010385,0.101596326,0.022117694,0.06661997,0.024131541,0.0759378,0.02614539,0.112324817,0.02815923,0.047445671,0.03017308,0.0805828,0.032186926,0.0792958,0.03420077,0.0581651,0.03621462,0.08200964,0.03822847,0.038109709,0.040242312,0.041351174,0.04225616,0.017131145,0.04427,0.00388885
CELL_i03375_k01_seed1665263493_void_mask.tif,3375,1,0.159326,15.933,0.022882623,6.86E-05,-0.0554306,-0.6091033,0.005,0.0119,0.0158,0.0184,0.0204,0.0231,0.026,0.0277,0.0308,0.0347,0.0447,0.00599303,0.030595385,0.0079791,0.00172995,0.00996517,0.036397971,0.011951238,0.06828474,0.013937306,0.00548641,0.015923374,0.137798877,0.01790944,0.02660748,0.01989551,0.121770369,0.021881578,0.06835143,0.023867646,0.028285648,0.025853714,0.135668804,0.027839782,0.09093805,0.02982585,0.04805336,0.031811918,0.08075449,0.033797986,0.02025256,0.03578405,0.06399556,0.037770122,0.01686485,0.03975619,0.015406354,0.04174226,0.0004676,0.043728326,0.00229012
CELL_i03376_k01_seed56612054_void_mask.tif,3376,1,0.103151,10.315,0.019230613,5.45E-05,0.00618048,-0.6393135,0.005,0.0096,0.0118,0.0148,0.0166,0.0196,0.021,0.0245,0.0259,0.0291,0.0403,0.00588278,0.05686587,0.00764835,0.00586036,0.00941391,0.06359268,0.01117948,0.08864222,0.01294504,0.018628098,0.014710604,0.12168855,0.016476169,0.07900946,0.01824173,0.030090705,0.020007298,0.129473282,0.021772862,0.07182094,0.02353843,0.02867772,0.02530399,0.128675905,0.027069556,0.05161505,0.02883512,0.039959768,0.030600684,0.04918051,0.03236625,0.01690247,0.034131813,0.0071764,0.03589738,0.00906926,0.03766294,0.0001539,0.03942851,0.00291685
CELL_i03377_k01_seed1029534948_void_mask.tif,3377,1,0.138499,13.85,0.02719808,9.43E-05,-0.1111746,-0.5392403,0.005,0.0145,0.0195,0.022,0.0254,0.0267,0.0303,0.0332,0.0362,0.04,0.0492,0.00610611,0.027714099,0.00831832,2.35E-05,0.010530536,0.04492,0.012742751,0.00394046,0.014954965,0.07397526,0.01716718,0.03443978,0.019379394,0.02711121,0.021591609,0.132016296,0.023803823,0.021728496,0.02601604,0.16401382,0.028228252,0.036363981,0.030440466,0.07756554,0.032652681,0.07656914,0.0348649,0.07373068,0.03707711,0.07086423,0.03928932,0.04254995,0.04150154,0.03620694,0.043713753,0.028024571,0.04592597,0.018398147,0.04813818,0.00984393
CELL_i03378_k01_seed1419091317_void_mask.tif,3378,1,0.123449,12.345,0.014855999,4.50E-05,0.08486731,-0.9845247,0.005,0.0057,0.01,0.0106,0.0113,0.0155,0.0162,0.0201,0.021,0.0251,0.03,0.005625,0.176425916,0.006875,0.01767023,0.008125,0.00083334,0.009375,0,0.010625,0.203823842,0.011875,0.02509333,0.013125,0,0.014375,0.010843536,0.015625,0.167765466,0.016875,0.04373259,0.018125,0.03707803,0.019375,0,0.020625,0.153056978,0.021875,0.0280247,0.023125,0.025389001,0.024375,0.00545771,0.025625,0.06834192,0.026875,0.021426843,0.028125,0.010499264,0.029375,0.00453729
CELL_i03379_k01_seed2098725352_void_mask.tif,3379,1,0.185099,18.51,0.032592116,0.00012253,-0.4240166,-0.2149885,0.005,0.0169,0.0236,0.0272,0.0308,0.0336,0.0364,0.0391,0.0419,0.0464,0.0561,0.00627812,0.027032119,0.00883436,0.01574223,0.011390607,0.019529388,0.01394685,0.02928091,0.016503093,0.012872148,0.01905934,0.015344471,0.02161558,0.06452147,0.02417182,0.05552697,0.02672807,0.08814393,0.02928431,0.06347473,0.03184055,0.09022457,0.03439679,0.09115515,0.03695304,0.09562437,0.03950928,0.09678389,0.04206552,0.0793007,0.04462177,0.04469899,0.04717801,0.053021555,0.04973425,0.022780346,0.05229049,0.024497668,0.054846737,0.010444397
CELL_i03380_k01_seed699579946_void_mask.tif,3380,1,0.128841,12.884,0.019891966,7.82E-05,-0.0093332,-0.889335,0.005,0.0068,0.0111,0.0147,0.017,0.0202,0.0225,0.0256,0.0283,0.0316,0.0406,0.0058905,0.101771659,0.00767151,0.00968926,0.00945252,0.05372411,0.01123353,0.07915757,0.013014544,0.015045662,0.014795553,0.09659765,0.016576563,0.06097432,0.018357573,0.02014302,0.02013858,0.113398381,0.021919592,0.05831116,0.023700602,0.025432485,0.025481611,0.112267143,0.02726262,0.049374763,0.02904363,0.037779086,0.03082464,0.07032207,0.03260565,0.03630828,0.03438666,0.02641043,0.03616767,0.02094925,0.037948679,0.00735984,0.03972969,0.00498385
CELL_i03381_k01_seed2107028957_void_mask.tif,3381,1,0.180707,18.071,0.023711593,0.00010359,0.105672306,-0.711046,0.005,0.0105,0.0147,0.0174,0.0205,0.0235,0.0256,0.0299,0.0331,0.0372,0.051,0.00614975,0.05820395,0.00844926,0.00027254,0.010748774,0.103583974,0.01304828,0.01597612,0.015347794,0.104901713,0.017647304,0.04345149,0.019946813,0.100205581,0.02224632,0.0704482,0.024545833,0.105789198,0.02684534,0.05753574,0.02914485,0.04845268,0.03144436,0.08657718,0.03374387,0.02082374,0.03604338,0.08417205,0.03834289,0.02727547,0.0406424,0.03654184,0.04294191,0.018899352,0.04524142,0.013483825,0.047540931,0.0003009,0.04984044,0.00310447
CELL_i03382_k01_seed1158962194_void_mask.tif,3382,1,0.146036,14.604,0.025830855,7.70E-05,-0.2969891,-0.4279522,0.005,0.0153,0.0186,0.0208,0.025,0.0265,0.0286,0.0315,0.0348,0.0365,0.0447,0.00599303,0.031625709,0.0079791,0.00096295,0.00996517,0.02167013,0.011951238,0.02898253,0.013937306,0.00169307,0.015923374,0.09226647,0.01790944,0.027012985,0.01989551,0.101769252,0.021881578,0.05844268,0.023867646,0.02633079,0.025853714,0.131047086,0.027839782,0.08749711,0.02982585,0.05429474,0.031811918,0.107019661,0.033797986,0.028684659,0.03578405,0.116126989,0.037770122,0.0251453,0.03975619,0.03643787,0.04174226,0.015719556,0.043728326,0.00727046
